Point,X,Y
1,0.44828057369445906,0.10056666397963188
2,0.4992940102803507,0.4624136878696337
3,0.5997267135588249,6.676361773603322
4,0.700159416837299,41.41693343454243
5,0.8005921201157732,113.5572172848701
6,0.9010248233942473,213.8264187291949
7,0.9998633567794124,343.71329224168886
8,1.1002960600578864,500.4797483762741
9,1.2007287633363606,673.3189881641397
10,1.2995672967215257,870.7175573040163
11,1.4,1082.3203583830152
12,0.6363926211049344,0.10199736606896026
13,0.700159416837299,1.208394023587621
14,0.8005921201157732,24.350229582377604
15,0.8994306535009382,99.15600021628651
16,0.9998633567794124,220.57600963083064
17,1.1018902299511957,383.7506011556511
18,1.2007287633363606,569.9387777581903
19,1.3011614666148348,751.7502881320441
20,1.4,991.5600021628652
