time,CH1
-0.4699,1.23
-0.4698,1.23
-0.4697,1.3
-0.4696,1.34
-0.4695,1.3800000000000001
-0.4694,1.4000000000000001
-0.4693,1.42
-0.4692,1.41
-0.4691,1.43
-0.469,1.46
-0.4689,1.46
-0.4688,1.48
-0.4687,1.48
-0.4686,1.48
-0.4685,1.49
-0.4684,1.49
-0.4683,1.48
-0.4682,1.49
-0.4681,1.5
-0.46799999999999997,1.49
-0.4679,1.5
-0.4678,1.52
-0.4677,1.75
-0.4676,1.9000000000000001
-0.4675,2.04
-0.4674,2.16
-0.4673,2.23
-0.4672,2.3000000000000003
-0.4671,2.35
-0.46699999999999997,2.39
-0.4669,2.44
-0.4668,2.46
-0.4667,2.47
-0.4666,2.5100000000000002
-0.4665,2.5300000000000002
-0.4664,2.54
-0.4663,2.5500000000000003
-0.4662,2.57
-0.4661,2.58
-0.46599999999999997,2.58
-0.4659,2.57
-0.4658,2.5300000000000002
-0.4657,2.33
-0.4656,2.14
-0.4655,1.99
-0.4654,1.8800000000000001
-0.4653,1.79
-0.4652,1.7
-0.4651,1.67
-0.46499999999999997,1.61
-0.4649,1.56
-0.4648,1.54
-0.4647,1.5
-0.4646,1.47
-0.4645,1.45
-0.4644,1.45
-0.4643,1.44
-0.4642,1.44
-0.4641,1.4000000000000001
-0.46399999999999997,1.42
-0.4639,1.41
-0.4638,1.3900000000000001
-0.4637,1.24
-0.4636,1.16
-0.4635,1.08
-0.4634,1.03
-0.4633,0.98
-0.4632,0.93
-0.4631,0.9
-0.46299999999999997,0.87
-0.4629,0.84
-0.4628,0.84
-0.4627,0.8200000000000001
-0.4626,0.8
-0.4625,0.8
-0.4624,0.8
-0.4623,0.78
-0.4622,0.78
-0.4621,0.76
-0.462,0.78
-0.4619,0.78
-0.4618,0.76
-0.4617,0.71
-0.4616,0.68
-0.4615,0.64
-0.4614,0.61
-0.4613,0.6
-0.4612,0.5700000000000001
-0.4611,0.58
-0.461,0.56
-0.4609,0.55
-0.4608,0.53
-0.4607,0.53
-0.4606,0.53
-0.4605,0.55
-0.4604,0.53
-0.4603,0.52
-0.4602,0.53
-0.4601,0.53
-0.46,0.53
-0.4599,0.51
-0.4598,0.5
-0.4597,0.43
-0.4596,0.37
-0.4595,0.33
-0.4594,0.3
-0.4593,0.27
-0.4592,0.23
-0.4591,0.23
-0.459,0.2
-0.4589,0.19
-0.4588,0.19
-0.4587,0.17
-0.4586,0.15
-0.4585,0.16
-0.4584,0.14
-0.4583,0.18
-0.4582,0.15
-0.4581,0.14
-0.458,0.14
-0.4579,0.14
-0.4578,0.13
-0.4577,0.35000000000000003
-0.4576,0.5
-0.4575,0.61
-0.45740000000000003,0.6900000000000001
-0.4573,0.76
-0.4572,0.8200000000000001
-0.4571,0.87
-0.457,0.9
-0.4569,0.92
-0.4568,0.97
-0.4567,0.98
-0.4566,1.01
-0.4565,1.01
-0.45640000000000003,1.04
-0.4563,1.06
-0.4562,1.06
-0.4561,1.04
-0.456,1.05
-0.45589999999999997,1.06
-0.4558,1.07
-0.4557,1.11
-0.4556,1.1500000000000001
-0.4555,1.17
-0.4554,1.21
-0.4553,1.22
-0.4552,1.24
-0.4551,1.25
-0.455,1.26
-0.45489999999999997,1.29
-0.4548,1.28
-0.4547,1.29
-0.4546,1.29
-0.4545,1.3
-0.4544,1.29
-0.4543,1.29
-0.4542,1.31
-0.4541,1.29
-0.454,1.31
-0.45389999999999997,1.31
-0.4538,1.31
-0.4537,1.33
-0.4536,1.37
-0.4535,1.37
-0.4534,1.41
-0.4533,1.42
-0.4532,1.44
-0.4531,1.43
-0.453,1.44
-0.45289999999999997,1.44
-0.4528,1.46
-0.4527,1.43
-0.4526,1.46
-0.4525,1.46
-0.4524,1.45
-0.4523,1.46
-0.4522,1.46
-0.4521,1.45
-0.452,1.47
-0.45189999999999997,1.47
-0.4518,1.46
-0.4517,1.57
-0.4516,1.69
-0.4515,1.77
-0.4514,1.84
-0.4513,1.8900000000000001
-0.4512,1.95
-0.4511,1.99
-0.451,2.02
-0.45089999999999997,2.05
-0.4508,2.04
-0.4507,2.08
-0.4506,2.09
-0.4505,2.1
-0.4504,2.1
-0.4503,2.11
-0.4502,2.14
-0.4501,2.14
-0.45,2.14
-0.44989999999999997,2.12
-0.4498,2.14
-0.4497,1.85
-0.4496,1.56
-0.4495,1.33
-0.4494,1.1400000000000001
-0.4493,1.01
-0.4492,0.9
-0.4491,0.8
-0.449,0.73
-0.4489,0.66
-0.4488,0.61
-0.4487,0.56
-0.4486,0.54
-0.4485,0.49
-0.4484,0.47000000000000003
-0.4483,0.48
-0.4482,0.45
-0.4481,0.45
-0.448,0.42
-0.4479,0.42
-0.4478,0.41000000000000003
-0.4477,0.44
-0.4476,0.5
-0.4475,0.56
-0.4474,0.56
-0.4473,0.6
