CH1,CH3,CH4,Ts
-1.590000000e+2,3.399843750e+1,-1.130070625e+1,
-1.549921875e+2,3.460000000e+1,-1.129929375e+1,
-1.580312500e+2,3.399218750e+1,-1.130000000e+1,
-1.579843750e+2,3.420156250e+1,-1.138898750e+1,
-1.569843750e+2,3.440000000e+1,-1.111920000e+1,
-1.569531250e+2,3.459843750e+1,-1.130000000e+1,
-1.609453125e+2,3.480000000e+1,-1.121171875e+1,
-1.610468750e+2,3.520156250e+1,-1.120960000e+1,
-1.580078125e+2,3.419531250e+1,-1.130141250e+1,
-1.599531250e+2,3.480312500e+1,-1.157120000e+1,
-1.590781250e+2,3.499531250e+1,-1.148080000e+1,
-1.570156250e+2,3.539843750e+1,-1.148150625e+1,
-1.590390625e+2,3.500312500e+1,-1.130070625e+1,
-1.609921875e+2,3.519218750e+1,-1.139040000e+1,
-1.570000000e+2,3.539218750e+1,-1.138969375e+1,
-1.610078125e+2,3.440000000e+1,-1.139040000e+1,
-1.589687500e+2,3.520000000e+1,-1.148080000e+1,
-1.580000000e+2,3.479843750e+1,-1.139040000e+1,
-1.590000000e+2,3.558906250e+1,-1.130070625e+1,
-1.599921875e+2,3.500312500e+1,-1.130000000e+1,
-1.600078125e+2,3.480156250e+1,-1.139393125e+1,
-1.600000000e+2,3.500468750e+1,-1.166160000e+1,
-1.599921875e+2,3.520625000e+1,-1.148080000e+1,
-1.600312500e+2,3.560312500e+1,-1.157120000e+1,
-1.570000000e+2,3.560000000e+1,-1.130000000e+1,
-1.590078125e+2,3.539843750e+1,-1.130000000e+1,
-1.570000000e+2,3.520000000e+1,-1.130353125e+1,
-1.590078125e+2,3.520937500e+1,-1.166018750e+1,
-1.579687500e+2,3.580000000e+1,-1.120960000e+1,
-1.570156250e+2,3.540000000e+1,-1.148715625e+1,
-1.609921875e+2,3.540156250e+1,-1.184028125e+1,
-1.600000000e+2,3.539843750e+1,-1.139393125e+1,
-1.620000000e+2,3.540156250e+1,-1.148080000e+1,
-1.600156250e+2,3.520156250e+1,-1.157190625e+1,
-1.590078125e+2,3.560000000e+1,-1.157120000e+1,
-1.590000000e+2,3.540000000e+1,-1.166160000e+1,
-1.599921875e+2,3.579843750e+1,-1.157120000e+1,
-1.619843750e+2,3.520000000e+1,-1.166230625e+1,
-1.620000000e+2,3.560781250e+1,-1.157190625e+1,
-1.610078125e+2,3.460156250e+1,-1.175341250e+1,
-1.599921875e+2,3.601406250e+1,-1.166089375e+1,
-1.589921875e+2,3.559531250e+1,-1.157120000e+1,
-1.590078125e+2,3.600156250e+1,-1.175694375e+1,
-1.610078125e+2,3.559375000e+1,-1.193209375e+1,
-1.570000000e+2,3.540000000e+1,-1.193421250e+1,
-1.600234375e+2,3.540000000e+1,-1.166018750e+1,
-1.620000000e+2,3.560000000e+1,-1.157120000e+1,
-1.600156250e+2,3.580156250e+1,-1.148080000e+1,
-1.590078125e+2,3.600000000e+1,-1.166160000e+1,
-1.579921875e+2,3.600000000e+1,-1.148080000e+1,
-1.599765625e+2,3.600000000e+1,-1.184240000e+1,
-1.600234375e+2,3.577343750e+1,-1.184381250e+1,
-1.579765625e+2,3.680000000e+1,-1.175129375e+1,
-1.580234375e+2,3.579218750e+1,-1.157190625e+1,
-1.600156250e+2,3.559687500e+1,-1.166442500e+1,
-1.600000000e+2,3.520156250e+1,-1.193350625e+1,
-1.610312500e+2,3.600937500e+1,-1.175200000e+1,
-1.619843750e+2,3.660000000e+1,-1.193280000e+1,
-1.590156250e+2,3.600000000e+1,-1.175200000e+1,
-1.599921875e+2,3.580312500e+1,-1.202390625e+1,
-1.590078125e+2,3.599843750e+1,-1.193209375e+1,
-1.590078125e+2,3.560781250e+1,-1.193280000e+1,
-1.580078125e+2,3.640000000e+1,-1.175129375e+1,
-1.579921875e+2,3.580000000e+1,-1.166160000e+1,
-1.580234375e+2,3.620312500e+1,-1.193350625e+1,
-1.570000000e+2,3.539687500e+1,-1.175200000e+1,
-1.590156250e+2,3.620468750e+1,-1.193350625e+1,
-1.609921875e+2,3.660000000e+1,-1.193350625e+1,
-1.590000000e+2,3.660000000e+1,-1.211360000e+1,
-1.599921875e+2,3.680000000e+1,-1.202320000e+1,
-1.610000000e+2,3.640468750e+1,-1.211360000e+1,
-1.580000000e+2,3.639062500e+1,-1.184240000e+1,
-1.590000000e+2,3.699843750e+1,-1.183957500e+1,
-1.589921875e+2,3.640312500e+1,-1.220400000e+1,
-1.609921875e+2,3.620468750e+1,-1.211360000e+1,
-1.610312500e+2,3.680000000e+1,-1.220329375e+1,
-1.580078125e+2,3.659843750e+1,-1.211430625e+1,
-1.599765625e+2,3.699218750e+1,-1.202673125e+1,
-1.600078125e+2,3.679843750e+1,-1.184240000e+1,
-1.590000000e+2,3.680000000e+1,-1.193350625e+1,
-1.580078125e+2,3.699531250e+1,-1.203026250e+1,
-1.579921875e+2,3.680625000e+1,-1.238550625e+1,
-1.570078125e+2,3.719687500e+1,-1.210865625e+1,
-1.590078125e+2,3.659843750e+1,-1.202531875e+1,
-1.589921875e+2,3.717343750e+1,-1.220470625e+1,
-1.610078125e+2,3.720625000e+1,-1.202320000e+1,
-1.570156250e+2,3.680000000e+1,-1.229440000e+1,
-1.579765625e+2,3.740312500e+1,-1.211289375e+1,
-1.580234375e+2,3.760156250e+1,-1.247449375e+1,
-1.569843750e+2,3.680000000e+1,-1.220400000e+1,
-1.589843750e+2,3.739687500e+1,-1.220611875e+1,
-1.580000000e+2,3.681250000e+1,-1.193280000e+1,
-1.600546875e+2,3.700156250e+1,-1.220541250e+1,
-1.609687500e+2,3.719843750e+1,-1.220541250e+1,
-1.570000000e+2,3.700000000e+1,-1.193280000e+1,
-1.600312500e+2,3.700000000e+1,-1.220753125e+1,
-1.579609375e+2,3.719843750e+1,-1.238480000e+1,
-1.570156250e+2,3.681406250e+1,-1.220541250e+1,
-1.590000000e+2,3.679687500e+1,-1.229440000e+1,
-1.579921875e+2,3.739843750e+1,-1.220400000e+1,
-1.609687500e+2,3.720156250e+1,-1.247520000e+1,
-1.610234375e+2,3.779531250e+1,-1.228945625e+1,
-1.590156250e+2,3.720468750e+1,-1.211430625e+1,
-1.590156250e+2,3.839531250e+1,-1.247449375e+1,
-1.580156250e+2,3.781093750e+1,-1.220329375e+1,
-1.600156250e+2,3.719843750e+1,-1.220400000e+1,
-1.579609375e+2,3.760781250e+1,-1.238480000e+1,
-1.560234375e+2,3.840000000e+1,-1.220329375e+1,
-1.600078125e+2,3.799531250e+1,-1.220470625e+1,
-1.580000000e+2,3.800000000e+1,-1.238480000e+1,
-1.560078125e+2,3.759843750e+1,-1.220400000e+1,
-1.590546875e+2,3.800000000e+1,-1.238550625e+1,
-1.610156250e+2,3.740000000e+1,-1.229510625e+1,
-1.550156250e+2,3.739843750e+1,-1.247449375e+1,
-1.580156250e+2,3.759843750e+1,-1.247520000e+1,
-1.579921875e+2,3.760468750e+1,-1.238480000e+1,
-1.610000000e+2,3.819687500e+1,-1.256701250e+1,
-1.580234375e+2,3.783593750e+1,-1.220541250e+1,
-1.590000000e+2,3.719843750e+1,-1.247449375e+1,
-1.590000000e+2,3.740312500e+1,-1.238550625e+1,
-1.570078125e+2,3.739531250e+1,-1.256771875e+1,
-1.600234375e+2,3.720937500e+1,-1.238338750e+1,
-1.599921875e+2,3.759687500e+1,-1.229440000e+1,
-1.590000000e+2,3.719531250e+1,-1.229369375e+1,
-1.590000000e+2,3.800000000e+1,-1.211360000e+1,
-1.580000000e+2,3.740000000e+1,-1.256489375e+1,
-1.580000000e+2,3.800000000e+1,-1.229298750e+1,
-1.599921875e+2,3.719687500e+1,-1.247520000e+1,
-1.610468750e+2,3.780156250e+1,-1.229440000e+1,
-1.570156250e+2,3.760312500e+1,-1.256560000e+1,
-1.599765625e+2,3.759843750e+1,-1.229440000e+1,
-1.599843750e+2,3.759843750e+1,-1.256418750e+1,
-1.600234375e+2,3.780000000e+1,-1.265458750e+1,
-1.609687500e+2,3.739687500e+1,-1.220400000e+1,
-1.569375000e+2,3.780468750e+1,-1.256560000e+1,
-1.570625000e+2,3.820000000e+1,-1.229440000e+1,
-1.610078125e+2,3.800000000e+1,-1.256348125e+1,
-1.580468750e+2,3.819843750e+1,-1.256560000e+1,
-1.589609375e+2,3.820468750e+1,-1.256560000e+1,
-1.600000000e+2,3.760000000e+1,-1.265670625e+1,
-1.590078125e+2,3.821093750e+1,-1.274710625e+1,
-1.590000000e+2,3.819687500e+1,-1.274640000e+1,
-1.589921875e+2,3.760156250e+1,-1.274640000e+1,
-1.600078125e+2,3.859218750e+1,-1.247520000e+1,
-1.589843750e+2,3.800000000e+1,-1.265600000e+1,
-1.579609375e+2,3.800000000e+1,-1.247449375e+1,
-1.560078125e+2,3.779687500e+1,-1.247449375e+1,
-1.590390625e+2,3.780156250e+1,-1.229510625e+1,
-1.599921875e+2,3.820000000e+1,-1.238621250e+1,
-1.560000000e+2,3.799687500e+1,-1.247590625e+1,
-1.600000000e+2,3.760000000e+1,-1.247661250e+1,
-1.600000000e+2,3.799375000e+1,-1.229440000e+1,
-1.610000000e+2,3.819375000e+1,-1.220400000e+1,
-1.590000000e+2,3.780000000e+1,-1.247096250e+1,
-1.600078125e+2,3.860000000e+1,-1.265600000e+1,
-1.600000000e+2,3.819531250e+1,-1.247520000e+1,
-1.580234375e+2,3.819531250e+1,-1.220400000e+1,
-1.580078125e+2,3.800312500e+1,-1.238480000e+1,
-1.599921875e+2,3.759843750e+1,-1.247590625e+1,
-1.580000000e+2,3.780625000e+1,-1.256560000e+1,
-1.600234375e+2,3.799843750e+1,-1.247449375e+1,
-1.589687500e+2,3.779375000e+1,-1.247449375e+1,
-1.580000000e+2,3.780312500e+1,-1.238550625e+1,
-1.590000000e+2,3.782968750e+1,-1.238409375e+1,
-1.570078125e+2,3.700000000e+1,-1.256630625e+1,
-1.600000000e+2,3.780625000e+1,-1.247661250e+1,
-1.580156250e+2,3.760156250e+1,-1.247520000e+1,
-1.590000000e+2,3.740156250e+1,-1.256701250e+1,
-1.580234375e+2,3.700156250e+1,-1.274640000e+1,
-1.580000000e+2,3.779062500e+1,-1.247661250e+1,
-1.590625000e+2,3.760468750e+1,-1.238338750e+1,
-1.609843750e+2,3.760156250e+1,-1.211360000e+1,
-1.579843750e+2,3.720000000e+1,-1.246955000e+1,
-1.590312500e+2,3.740000000e+1,-1.265600000e+1,
-1.589609375e+2,3.720312500e+1,-1.256630625e+1,
-1.570156250e+2,3.779843750e+1,-1.247449375e+1,
-1.600312500e+2,3.741406250e+1,-1.256701250e+1,
-1.590156250e+2,3.719843750e+1,-1.238480000e+1,
-1.580234375e+2,3.720000000e+1,-1.265670625e+1,
-1.570000000e+2,3.780312500e+1,-1.220188125e+1,
-1.589843750e+2,3.799531250e+1,-1.247731875e+1,
-1.610234375e+2,3.759687500e+1,-1.238480000e+1,
-1.570546875e+2,3.740000000e+1,-1.247520000e+1,
-1.559687500e+2,3.741406250e+1,-1.247590625e+1,
-1.580000000e+2,3.700000000e+1,-1.229581250e+1,
-1.559921875e+2,3.759531250e+1,-1.220400000e+1,
-1.580156250e+2,3.799843750e+1,-1.229298750e+1,
-1.580000000e+2,3.739531250e+1,-1.220188125e+1,
-1.580000000e+2,3.719687500e+1,-1.274640000e+1,
-1.580156250e+2,3.720312500e+1,-1.256489375e+1,
-1.610078125e+2,3.699843750e+1,-1.247378750e+1,
-1.599921875e+2,3.739687500e+1,-1.256560000e+1,
-1.580000000e+2,3.759843750e+1,-1.238480000e+1,
-1.580000000e+2,3.780312500e+1,-1.229440000e+1,
-1.590000000e+2,3.779687500e+1,-1.238338750e+1,
-1.579921875e+2,3.720000000e+1,-1.247520000e+1,
-1.560000000e+2,3.798750000e+1,-1.229651875e+1,
-1.579921875e+2,3.760156250e+1,-1.238268125e+1,
-1.580000000e+2,3.740000000e+1,-1.247378750e+1,
-1.599921875e+2,3.739375000e+1,-1.229369375e+1,
-1.559687500e+2,3.700312500e+1,-1.247520000e+1,
