CH1,CH2,CH3,CH4,Ts
2.659531250e+2,-8.403125000e-2,5.468750000e-4,3.968750000e-2,
2.641250000e+2,-9.196875000e-2,-1.062500000e-2,5.968750000e-2,
2.640000000e+2,-9.596875000e-2,3.125000000e-4,6.007812500e-2,
2.637500000e+2,-9.990625000e-2,-2.953125000e-2,6.007812500e-2,
2.680468750e+2,-9.200000000e-2,-2.070312500e-2,5.960937500e-2,
2.658125000e+2,-9.996875000e-2,0.000000000e+0,7.039062500e-2,
2.740000000e+2,-9.215625000e-2,0.000000000e+0,3.023437500e-2,
2.661250000e+2,-1.080312500e-1,9.921875000e-3,3.953125000e-2,
2.699531250e+2,-8.762500000e-2,0.000000000e+0,5.992187500e-2,
2.660000000e+2,-8.415625000e-2,1.007812500e-2,3.992187500e-2,
2.699687500e+2,-9.606250000e-2,-9.765625000e-3,4.992187500e-2,
2.659531250e+2,-8.778125000e-2,-2.007812500e-2,3.000000000e-2,
2.619843750e+2,-9.218750000e-2,7.812500000e-5,3.976562500e-2,
2.639687500e+2,-9.178125000e-2,0.000000000e+0,4.000000000e-2,
2.680468750e+2,-8.787500000e-2,-3.125000000e-4,4.984375000e-2,
2.620937500e+2,-9.256250000e-2,-2.007812500e-2,5.039062500e-2,
2.637968750e+2,-1.041875000e-1,-9.765625000e-3,4.031250000e-2,
2.677812500e+2,-9.484375000e-2,-7.812500000e-5,7.984375000e-2,
2.701250000e+2,-8.028125000e-2,7.031250000e-4,6.000000000e-2,
2.620625000e+2,-9.600000000e-2,3.000000000e-2,6.992187500e-2,
2.640000000e+2,-8.384375000e-2,-9.453125000e-3,5.125000000e-2,
2.600312500e+2,-8.793750000e-2,-2.914062500e-2,2.953125000e-2,
2.657968750e+2,-8.006250000e-2,-3.382812500e-2,7.937500000e-2,
2.680000000e+2,-9.965625000e-2,3.742187500e-2,4.257812500e-2,
2.679531250e+2,-1.041562500e-1,4.843750000e-3,3.757812500e-2,
2.681250000e+2,-9.306250000e-2,-8.593750000e-4,6.054687500e-2,
2.659687500e+2,-8.378125000e-2,-9.296875000e-3,4.039062500e-2,
2.699843750e+2,-9.184375000e-2,-2.343750000e-4,6.039062500e-2,
2.660156250e+2,-9.209375000e-2,2.343750000e-4,5.890625000e-2,
2.660000000e+2,-9.206250000e-2,0.000000000e+0,3.000000000e-2,
2.659843750e+2,-9.196875000e-2,2.000000000e-2,5.023437500e-2,
2.700156250e+2,-1.043437500e-1,3.906250000e-4,3.992187500e-2,
2.660000000e+2,-8.018750000e-2,-2.984375000e-2,4.000000000e-2,
2.699375000e+2,-9.165625000e-2,-1.562500000e-4,4.031250000e-2,
2.680312500e+2,-8.806250000e-2,-2.000000000e-2,4.968750000e-2,
2.600468750e+2,-9.581250000e-2,-1.562500000e-4,3.000000000e-2,
2.620312500e+2,-9.218750000e-2,-1.914062500e-2,6.000000000e-2,
2.620312500e+2,-8.750000000e-2,2.109375000e-2,3.937500000e-2,
2.660156250e+2,-1.000000000e-1,-1.718750000e-3,2.039062500e-2,
2.683437500e+2,-8.428125000e-2,1.406250000e-3,6.109375000e-2,
2.755781250e+2,-8.400000000e-2,-2.421875000e-3,4.921875000e-2,
2.597187500e+2,-1.081562500e-1,-2.921875000e-2,3.929687500e-2,
2.665625000e+2,-9.503125000e-2,1.171875000e-2,3.085937500e-2,
2.655312500e+2,-9.215625000e-2,-1.640625000e-3,5.023437500e-2,
2.622187500e+2,-9.603125000e-2,-1.031250000e-2,3.984375000e-2,
2.701406250e+2,-9.168750000e-2,-9.062500000e-3,6.125000000e-2,
2.657968750e+2,-8.781250000e-2,-7.031250000e-4,6.937500000e-2,
2.660468750e+2,-8.831250000e-2,-9.531250000e-3,4.914062500e-2,
2.680781250e+2,-9.609375000e-2,-5.468750000e-4,5.062500000e-2,
2.719375000e+2,-9.600000000e-2,-9.140625000e-3,4.835937500e-2,
2.638281250e+2,-1.000000000e-1,2.117187500e-2,1.000000000e-2,
2.663281250e+2,-9.187500000e-2,7.734375000e-3,5.093750000e-2,
2.759843750e+2,-8.000000000e-2,-2.054687500e-2,5.000000000e-2,
2.677812500e+2,-8.815625000e-2,-2.007812500e-2,4.953125000e-2,
2.722187500e+2,-8.800000000e-2,-1.992187500e-2,6.000000000e-2,
2.717968750e+2,-8.806250000e-2,0.000000000e+0,4.015625000e-2,
2.657812500e+2,-8.771875000e-2,-1.992187500e-2,3.968750000e-2,
2.619843750e+2,-9.987500000e-2,-5.468750000e-4,5.992187500e-2,
2.680312500e+2,-9.231250000e-2,-1.000000000e-2,5.023437500e-2,
2.640000000e+2,-9.621875000e-2,8.593750000e-4,5.046875000e-2,
2.660937500e+2,-8.496875000e-2,-2.000000000e-2,4.000000000e-2,
2.659218750e+2,-7.981250000e-2,-1.992187500e-2,4.976562500e-2,
2.640468750e+2,-9.146875000e-2,-1.992187500e-2,4.039062500e-2,
2.680312500e+2,-1.000312500e-1,-2.015625000e-2,7.023437500e-2,
2.680000000e+2,-9.600000000e-2,-3.000000000e-2,3.953125000e-2,
2.679843750e+2,-9.228125000e-2,-9.687500000e-3,3.007812500e-2,
2.641875000e+2,-7.187500000e-2,9.765625000e-3,4.007812500e-2,
2.618125000e+2,-7.537500000e-2,9.140625000e-3,5.015625000e-2,
2.679218750e+2,-9.978125000e-2,-2.015625000e-2,6.000000000e-2,
2.678281250e+2,-1.000000000e-1,4.687500000e-4,4.929687500e-2,
2.721250000e+2,-1.082812500e-1,-1.164062500e-2,2.976562500e-2,
2.622500000e+2,-9.193750000e-2,-1.992187500e-2,4.085937500e-2,
2.638281250e+2,-9.134375000e-2,4.687500000e-4,4.945312500e-2,
2.679843750e+2,-7.212500000e-2,-7.812500000e-5,3.039062500e-2,
2.680468750e+2,-9.750000000e-2,-1.031250000e-2,4.968750000e-2,
2.659687500e+2,-9.559375000e-2,-1.953125000e-2,9.765625000e-3,
2.698125000e+2,-9.203125000e-2,9.921875000e-3,4.039062500e-2,
2.685000000e+2,-9.193750000e-2,-2.046875000e-2,5.984375000e-2,
2.580312500e+2,-8.784375000e-2,7.812500000e-5,3.984375000e-2,
2.655312500e+2,-8.818750000e-2,-2.156250000e-2,4.992187500e-2,
2.624218750e+2,-9.603125000e-2,-1.867187500e-2,5.992187500e-2,
2.599062500e+2,-9.206250000e-2,3.125000000e-4,6.054687500e-2,
2.601093750e+2,-1.001562500e-1,-1.140625000e-2,6.945312500e-2,
2.615625000e+2,-1.000625000e-1,-2.992187500e-2,3.875000000e-2,
2.715625000e+2,-1.036562500e-1,-9.843750000e-3,4.132812500e-2,
2.702656250e+2,-9.187500000e-2,-1.968750000e-2,5.835937500e-2,
2.680000000e+2,-1.002812500e-1,-1.953125000e-2,1.992187500e-2,
2.662500000e+2,-9.971875000e-2,2.000000000e-2,5.039062500e-2,
2.601250000e+2,-8.809375000e-2,-9.218750000e-3,3.000000000e-2,
2.635468750e+2,-8.387500000e-2,-2.109375000e-2,4.007812500e-2,
2.698125000e+2,-9.115625000e-2,8.593750000e-3,5.000000000e-2,
2.704375000e+2,-9.628125000e-2,4.609375000e-3,5.000000000e-2,
2.634843750e+2,-8.946875000e-2,-3.054687500e-2,4.046875000e-2,
2.642187500e+2,-8.400000000e-2,-1.031250000e-2,1.984375000e-2,
2.638125000e+2,-8.809375000e-2,-2.960937500e-2,3.984375000e-2,
2.642500000e+2,-9.634375000e-2,-1.054687500e-2,5.000000000e-2,
2.658593750e+2,-1.079687500e-1,-1.937500000e-2,4.000000000e-2,
2.617656250e+2,-9.596875000e-2,-2.070312500e-2,4.976562500e-2,
2.621250000e+2,-1.000000000e-1,0.000000000e+0,5.015625000e-2,
2.663593750e+2,-7.987500000e-2,-2.000000000e-2,4.992187500e-2,
2.699375000e+2,-9.203125000e-2,-1.562500000e-4,5.015625000e-2,
2.660156250e+2,-8.384375000e-2,-3.007812500e-2,3.007812500e-2,
2.679062500e+2,-9.246875000e-2,-2.007812500e-2,3.000000000e-2,
2.642031250e+2,-1.000937500e-1,-4.000000000e-2,5.945312500e-2,
2.722343750e+2,-9.540625000e-2,-1.007812500e-2,7.101562500e-2,
2.674375000e+2,-8.740625000e-2,-2.000000000e-2,2.023437500e-2,
2.640468750e+2,-8.390625000e-2,-4.007812500e-2,4.968750000e-2,
2.637187500e+2,-8.887500000e-2,-4.023437500e-2,5.007812500e-2,
2.600156250e+2,-9.559375000e-2,-2.789062500e-2,4.992187500e-2,
2.619375000e+2,-8.403125000e-2,1.968750000e-2,4.039062500e-2,
2.603593750e+2,-9.181250000e-2,-3.210937500e-2,2.992187500e-2,
2.708437500e+2,-7.553125000e-2,-2.945312500e-2,3.953125000e-2,
2.740781250e+2,-8.062500000e-2,-2.960937500e-2,4.023437500e-2,
2.714531250e+2,-8.850000000e-2,-2.023437500e-2,2.007812500e-2,
2.660781250e+2,-9.184375000e-2,-2.968750000e-2,4.015625000e-2,
2.724843750e+2,-8.806250000e-2,-9.609375000e-3,2.953125000e-2,
2.690468750e+2,-9.228125000e-2,-2.078125000e-2,4.007812500e-2,
2.618750000e+2,-9.190625000e-2,-3.000000000e-2,3.984375000e-2,
2.640156250e+2,-8.684375000e-2,-3.031250000e-2,3.968750000e-2,
