CH1,CH3,CH4,Ts
-1.729921875e+2,-4.120000000e+0,-1.240000000e+1,2.000000000e-9
-1.740078125e+2,-4.159687500e+0,-1.229921875e+1,
-1.740078125e+2,-4.119375000e+0,-1.220000000e+1,
-1.750000000e+2,-4.040000000e+0,-1.240078125e+1,
-1.740000000e+2,-4.080000000e+0,-1.230000000e+1,
-1.750078125e+2,-4.119375000e+0,-1.240078125e+1,
-1.730000000e+2,-4.000000000e+0,-1.220078125e+1,
-1.760000000e+2,-4.079375000e+0,-1.219921875e+1,
-1.800000000e+2,-4.158437500e+0,-1.210000000e+1,
-1.760156250e+2,-4.240937500e+0,-1.239843750e+1,
-1.760078125e+2,-4.080312500e+0,-1.240000000e+1,
-1.750000000e+2,-4.162500000e+0,-1.230078125e+1,
-1.769921875e+2,-4.240000000e+0,-1.230000000e+1,
-1.780312500e+2,-3.960312500e+0,-1.239921875e+1,
-1.740078125e+2,-4.157187500e+0,-1.250156250e+1,
-1.770000000e+2,-4.080000000e+0,-1.230000000e+1,
-1.769921875e+2,-4.160000000e+0,-1.220078125e+1,
-1.759687500e+2,-4.158437500e+0,-1.230156250e+1,
-1.740312500e+2,-4.120937500e+0,-1.240156250e+1,
-1.790078125e+2,-4.159687500e+0,-1.249921875e+1,
-1.750078125e+2,-4.120937500e+0,-1.229843750e+1,
-1.770000000e+2,-4.241562500e+0,-1.229843750e+1,
-1.750156250e+2,-4.080937500e+0,-1.240000000e+1,
-1.739531250e+2,-4.120937500e+0,-1.229921875e+1,
-1.780078125e+2,-4.079687500e+0,-1.230000000e+1,
-1.740234375e+2,-4.039687500e+0,-1.230234375e+1,
-1.769453125e+2,-4.200000000e+0,-1.210000000e+1,
-1.749453125e+2,-4.160312500e+0,-1.239843750e+1,
-1.740234375e+2,-4.238750000e+0,-1.220156250e+1,
-1.760156250e+2,-4.200000000e+0,-1.220000000e+1,
-1.759921875e+2,-4.200312500e+0,-1.209921875e+1,
-1.760234375e+2,-4.160000000e+0,-1.240000000e+1,
-1.769843750e+2,-4.120000000e+0,-1.230156250e+1,
-1.750000000e+2,-4.120937500e+0,-1.250156250e+1,
-1.779687500e+2,-4.161250000e+0,-1.200390625e+1,
-1.780156250e+2,-4.080312500e+0,-1.230234375e+1,
-1.779843750e+2,-4.080312500e+0,-1.250000000e+1,
-1.780156250e+2,-4.120937500e+0,-1.210000000e+1,
-1.740312500e+2,-4.200000000e+0,-1.230390625e+1,
-1.739843750e+2,-4.118750000e+0,-1.230000000e+1,
-1.729453125e+2,-4.120000000e+0,-1.220156250e+1,
-1.700234375e+2,-4.239062500e+0,-1.220078125e+1,
-1.770546875e+2,-4.279687500e+0,-1.240000000e+1,
-1.759375000e+2,-4.158750000e+0,-1.220000000e+1,
-1.720000000e+2,-4.080000000e+0,-1.240156250e+1,
-1.760000000e+2,-4.162187500e+0,-1.250078125e+1,
-1.729921875e+2,-4.240000000e+0,-1.260000000e+1,
-1.730390625e+2,-4.123125000e+0,-1.230234375e+1,
-1.769921875e+2,-4.119687500e+0,-1.209921875e+1,
-1.750078125e+2,-4.200000000e+0,-1.209843750e+1,
-1.760078125e+2,-4.120312500e+0,-1.239843750e+1,
-1.760078125e+2,-4.120625000e+0,-1.250000000e+1,
-1.740000000e+2,-4.160312500e+0,-1.230000000e+1,
-1.759921875e+2,-4.160625000e+0,-1.260078125e+1,
-1.750000000e+2,-4.193750000e+0,-1.210625000e+1,
-1.760000000e+2,-4.319375000e+0,-1.229921875e+1,
-1.750000000e+2,-4.159687500e+0,-1.230078125e+1,
-1.760156250e+2,-4.200312500e+0,-1.239921875e+1,
-1.760000000e+2,-4.075625000e+0,-1.219843750e+1,
-1.749921875e+2,-4.040937500e+0,-1.230000000e+1,
-1.740000000e+2,-4.198125000e+0,-1.260000000e+1,
-1.730000000e+2,-4.198437500e+0,-1.220000000e+1,
-1.750000000e+2,-4.080000000e+0,-1.240000000e+1,
-1.730078125e+2,-4.240000000e+0,-1.230000000e+1,
-1.739765625e+2,-4.080000000e+0,-1.240000000e+1,
-1.750000000e+2,-4.280312500e+0,-1.220078125e+1,
-1.750234375e+2,-4.161250000e+0,-1.220000000e+1,
-1.750546875e+2,-4.158750000e+0,-1.229843750e+1,
-1.790390625e+2,-4.160000000e+0,-1.260000000e+1,
-1.779375000e+2,-4.160000000e+0,-1.229921875e+1,
-1.749687500e+2,-4.199375000e+0,-1.230078125e+1,
-1.750078125e+2,-4.120000000e+0,-1.240078125e+1,
-1.750156250e+2,-4.200000000e+0,-1.220000000e+1,
-1.760156250e+2,-4.160312500e+0,-1.249921875e+1,
-1.740468750e+2,-4.120000000e+0,-1.240000000e+1,
-1.739843750e+2,-4.158750000e+0,-1.250000000e+1,
-1.779843750e+2,-4.239375000e+0,-1.229843750e+1,
-1.770390625e+2,-4.079062500e+0,-1.220000000e+1,
-1.749921875e+2,-4.160312500e+0,-1.220000000e+1,
-1.769765625e+2,-4.120000000e+0,-1.230000000e+1,
-1.749296875e+2,-4.120625000e+0,-1.230000000e+1,
-1.730390625e+2,-4.120000000e+0,-1.230078125e+1,
-1.770234375e+2,-4.280000000e+0,-1.219843750e+1,
-1.749765625e+2,-4.158437500e+0,-1.210078125e+1,
-1.750000000e+2,-4.160000000e+0,-1.239921875e+1,
-1.750000000e+2,-4.160000000e+0,-1.229843750e+1,
-1.750000000e+2,-4.120000000e+0,-1.220000000e+1,
-1.740078125e+2,-4.162812500e+0,-1.219921875e+1,
-1.760000000e+2,-4.040000000e+0,-1.220000000e+1,
-1.750000000e+2,-4.160937500e+0,-1.210000000e+1,
-1.750078125e+2,-4.119375000e+0,-1.229609375e+1,
-1.770000000e+2,-4.080000000e+0,-1.240000000e+1,
-1.750000000e+2,-4.161250000e+0,-1.210000000e+1,
-1.770000000e+2,-4.240312500e+0,-1.249140625e+1,
-1.749843750e+2,-4.160937500e+0,-1.260000000e+1,
-1.750156250e+2,-4.160937500e+0,-1.249687500e+1,
-1.749765625e+2,-4.241250000e+0,-1.220000000e+1,
-1.729687500e+2,-4.198750000e+0,-1.250156250e+1,
-1.740234375e+2,-4.039062500e+0,-1.230000000e+1,
-1.790000000e+2,-4.121562500e+0,-1.250000000e+1,
-1.709921875e+2,-4.160312500e+0,-1.230078125e+1,
-1.759843750e+2,-4.160000000e+0,-1.230156250e+1,
-1.750156250e+2,-4.160312500e+0,-1.260156250e+1,
-1.770000000e+2,-4.160312500e+0,-1.230000000e+1,
-1.760156250e+2,-4.119687500e+0,-1.260078125e+1,
-1.760234375e+2,-4.240312500e+0,-1.250078125e+1,
-1.740156250e+2,-4.201250000e+0,-1.230156250e+1,
-1.770234375e+2,-4.160625000e+0,-1.220078125e+1,
-1.749843750e+2,-4.120312500e+0,-1.239843750e+1,
-1.739765625e+2,-4.120000000e+0,-1.260156250e+1,
-1.730312500e+2,-4.160000000e+0,-1.240000000e+1,
-1.760234375e+2,-4.240000000e+0,-1.260078125e+1,
-1.749687500e+2,-4.160312500e+0,-1.230546875e+1,
-1.740000000e+2,-4.157187500e+0,-1.219609375e+1,
-1.749921875e+2,-4.200000000e+0,-1.260000000e+1,
-1.750000000e+2,-4.120000000e+0,-1.240156250e+1,
-1.760078125e+2,-4.320312500e+0,-1.230390625e+1,
-1.740312500e+2,-4.157500000e+0,-1.259921875e+1,
-1.739843750e+2,-4.160625000e+0,-1.220000000e+1,
-1.759531250e+2,-4.120312500e+0,-1.250000000e+1,
-1.769843750e+2,-4.079375000e+0,-1.240000000e+1,
-1.739453125e+2,-4.120000000e+0,-1.259921875e+1,
-1.720156250e+2,-4.080312500e+0,-1.230000000e+1,
-1.750156250e+2,-4.080625000e+0,-1.209921875e+1,
-1.750000000e+2,-4.200937500e+0,-1.200000000e+1,
-1.760078125e+2,-4.240625000e+0,-1.220000000e+1,
-1.760000000e+2,-4.161875000e+0,-1.240000000e+1,
-1.750000000e+2,-4.119375000e+0,-1.220234375e+1,
-1.750000000e+2,-4.199687500e+0,-1.219843750e+1,
-1.740000000e+2,-4.200000000e+0,-1.230000000e+1,
-1.730000000e+2,-4.198437500e+0,-1.220078125e+1,
-1.750234375e+2,-4.040000000e+0,-1.210000000e+1,
-1.780078125e+2,-4.160000000e+0,-1.220000000e+1,
-1.740156250e+2,-4.121562500e+0,-1.229843750e+1,
-1.750000000e+2,-4.160000000e+0,-1.239921875e+1,
-1.760000000e+2,-4.160312500e+0,-1.249921875e+1,
-1.750000000e+2,-4.080625000e+0,-1.229843750e+1,
-1.750000000e+2,-4.201562500e+0,-1.240000000e+1,
-1.739921875e+2,-4.159687500e+0,-1.259765625e+1,
-1.749531250e+2,-4.120000000e+0,-1.220000000e+1,
-1.779453125e+2,-4.160000000e+0,-1.260000000e+1,
-1.790156250e+2,-4.160000000e+0,-1.230390625e+1,
-1.761015625e+2,-4.080000000e+0,-1.230000000e+1,
-1.729921875e+2,-4.161562500e+0,-1.230000000e+1,
-1.759453125e+2,-4.280000000e+0,-1.230000000e+1,
-1.751015625e+2,-4.160625000e+0,-1.230000000e+1,
-1.730156250e+2,-4.200937500e+0,-1.220000000e+1,
-1.750000000e+2,-4.080312500e+0,-1.239765625e+1,
-1.730000000e+2,-4.160000000e+0,-1.240078125e+1,
-1.740156250e+2,-4.120625000e+0,-1.220078125e+1,
-1.760000000e+2,-4.240000000e+0,-1.249921875e+1,
-1.760078125e+2,-4.080000000e+0,-1.240000000e+1,
-1.770000000e+2,-4.080000000e+0,-1.200000000e+1,
-1.740312500e+2,-4.077187500e+0,-1.229218750e+1,
-1.749843750e+2,-4.199687500e+0,-1.230000000e+1,
-1.760000000e+2,-4.159687500e+0,-1.230390625e+1,
-1.759921875e+2,-4.160000000e+0,-1.259843750e+1,
-1.770000000e+2,-4.119687500e+0,-1.219921875e+1,
-1.750468750e+2,-4.202187500e+0,-1.240468750e+1,
-1.720000000e+2,-4.280312500e+0,-1.260000000e+1,
-1.729843750e+2,-4.119687500e+0,-1.230000000e+1,
-1.710156250e+2,-4.160000000e+0,-1.230234375e+1,
-1.760078125e+2,-4.199062500e+0,-1.240078125e+1,
-1.730000000e+2,-4.120000000e+0,-1.230000000e+1,
-1.759843750e+2,-4.200000000e+0,-1.210078125e+1,
-1.770000000e+2,-4.158750000e+0,-1.220000000e+1,
-1.770000000e+2,-4.118125000e+0,-1.209921875e+1,
-1.760078125e+2,-4.200312500e+0,-1.230000000e+1,
-1.750156250e+2,-4.120000000e+0,-1.210000000e+1,
-1.730000000e+2,-4.241250000e+0,-1.229843750e+1,
-1.769921875e+2,-4.199687500e+0,-1.250000000e+1,
-1.750312500e+2,-4.120625000e+0,-1.229921875e+1,
-1.750000000e+2,-4.200000000e+0,-1.220234375e+1,
-1.739921875e+2,-4.121562500e+0,-1.220234375e+1,
-1.770156250e+2,-4.080937500e+0,-1.270078125e+1,
-1.769765625e+2,-4.160000000e+0,-1.240000000e+1,
-1.750000000e+2,-4.038437500e+0,-1.260234375e+1,
-1.760000000e+2,-4.001875000e+0,-1.249531250e+1,
-1.750000000e+2,-4.162187500e+0,-1.230078125e+1,
-1.770000000e+2,-4.165625000e+0,-1.240156250e+1,
-1.750156250e+2,-3.960000000e+0,-1.210000000e+1,
-1.739921875e+2,-4.161875000e+0,-1.240000000e+1,
-1.759921875e+2,-4.160000000e+0,-1.230000000e+1,
-1.760312500e+2,-4.120000000e+0,-1.220000000e+1,
-1.740000000e+2,-4.119375000e+0,-1.220000000e+1,
-1.750234375e+2,-4.080000000e+0,-1.230000000e+1,
-1.720078125e+2,-4.163125000e+0,-1.249921875e+1,
-1.760312500e+2,-4.000000000e+0,-1.239921875e+1,
-1.749921875e+2,-4.161250000e+0,-1.220078125e+1,
-1.759921875e+2,-4.120000000e+0,-1.220078125e+1,
-1.739921875e+2,-4.121875000e+0,-1.220078125e+1,
-1.760234375e+2,-4.239687500e+0,-1.230000000e+1,
-1.770078125e+2,-4.081250000e+0,-1.229921875e+1,
-1.760156250e+2,-4.120000000e+0,-1.250078125e+1,
-1.760000000e+2,-4.080312500e+0,-1.250078125e+1,
-1.760156250e+2,-4.240625000e+0,-1.259843750e+1,
-1.720234375e+2,-4.239375000e+0,-1.219765625e+1,
-1.719921875e+2,-4.240000000e+0,-1.230000000e+1,
-1.729531250e+2,-4.200000000e+0,-1.210000000e+1,
-1.760156250e+2,-4.200000000e+0,-1.240078125e+1,
-1.760078125e+2,-4.200312500e+0,-1.230000000e+1,
-1.770000000e+2,-4.200000000e+0,-1.230000000e+1,
-1.749921875e+2,-4.160000000e+0,-1.230078125e+1,
-1.750000000e+2,-4.200000000e+0,-1.230078125e+1,
-1.760000000e+2,-4.160000000e+0,-1.210000000e+1,
-1.750000000e+2,-4.240312500e+0,-1.240156250e+1,
-1.780000000e+2,-4.042812500e+0,-1.230000000e+1,
-1.760156250e+2,-4.038125000e+0,-1.239843750e+1,
-1.750000000e+2,-4.239687500e+0,-1.250000000e+1,
-1.770156250e+2,-4.119062500e+0,-1.230078125e+1,
-1.740000000e+2,-4.120000000e+0,-1.239843750e+1,
-1.769843750e+2,-4.040000000e+0,-1.240078125e+1,
-1.760078125e+2,-4.117500000e+0,-1.219765625e+1,
-1.760000000e+2,-4.200312500e+0,-1.250000000e+1,
-1.770156250e+2,-4.200000000e+0,-1.209453125e+1,
-1.769843750e+2,-4.160625000e+0,-1.221328125e+1,
-1.739921875e+2,-4.199687500e+0,-1.270078125e+1,
-1.740078125e+2,-4.160312500e+0,-1.239531250e+1,
-1.739921875e+2,-4.200312500e+0,-1.230078125e+1,
-1.760000000e+2,-4.124687500e+0,-1.229843750e+1,
-1.750078125e+2,-4.079062500e+0,-1.240078125e+1,
-1.750000000e+2,-4.160000000e+0,-1.230000000e+1,
-1.750078125e+2,-4.039687500e+0,-1.249921875e+1,
-1.749765625e+2,-4.080000000e+0,-1.250156250e+1,
-1.769609375e+2,-4.080000000e+0,-1.230000000e+1,
-1.769687500e+2,-3.999062500e+0,-1.219921875e+1,
-1.749921875e+2,-4.197812500e+0,-1.230156250e+1,
-1.760156250e+2,-4.160000000e+0,-1.220156250e+1,
-1.759921875e+2,-4.200000000e+0,-1.270078125e+1,
-1.760312500e+2,-4.120000000e+0,-1.210000000e+1,
-1.780000000e+2,-4.160000000e+0,-1.230312500e+1,
-1.759921875e+2,-4.118437500e+0,-1.220078125e+1,
-1.760156250e+2,-4.036875000e+0,-1.219531250e+1,
-1.740234375e+2,-4.160000000e+0,-1.250000000e+1,
-1.749531250e+2,-4.039687500e+0,-1.220000000e+1,
-1.780000000e+2,-4.160937500e+0,-1.210000000e+1,
-1.760312500e+2,-4.119062500e+0,-1.230703125e+1,
-1.750390625e+2,-4.080312500e+0,-1.270000000e+1,
-1.730000000e+2,-4.120000000e+0,-1.230468750e+1,
-1.750234375e+2,-4.120312500e+0,-1.220078125e+1,
-1.760156250e+2,-4.160625000e+0,-1.240000000e+1,
-1.759687500e+2,-4.240625000e+0,-1.240000000e+1,
-1.720000000e+2,-4.200000000e+0,-1.230000000e+1,
-1.750000000e+2,-4.079687500e+0,-1.240000000e+1,
-1.730000000e+2,-4.160000000e+0,-1.230000000e+1,
-1.740234375e+2,-4.240625000e+0,-1.250078125e+1,
-1.750000000e+2,-4.160625000e+0,-1.209921875e+1,
-1.740000000e+2,-4.080000000e+0,-1.219921875e+1,
-1.750078125e+2,-4.040000000e+0,-1.219921875e+1,
-1.750000000e+2,-4.121250000e+0,-1.239921875e+1,
-1.760000000e+2,-4.200000000e+0,-1.200000000e+1,
-1.759921875e+2,-4.121562500e+0,-1.249843750e+1,
-1.770000000e+2,-4.037500000e+0,-1.230078125e+1,
-1.740000000e+2,-4.161250000e+0,-1.260000000e+1,
-1.750312500e+2,-4.118750000e+0,-1.240000000e+1,
-1.759921875e+2,-4.081562500e+0,-1.260468750e+1,
-1.750000000e+2,-4.241250000e+0,-1.249609375e+1,
-1.760000000e+2,-4.159687500e+0,-1.220000000e+1,
-1.750000000e+2,-4.160625000e+0,-1.260000000e+1,
-1.770000000e+2,-4.039062500e+0,-1.220000000e+1,
-1.770000000e+2,-4.039375000e+0,-1.230078125e+1,
-1.740000000e+2,-4.200000000e+0,-1.210234375e+1,
-1.770000000e+2,-4.118437500e+0,-1.250000000e+1,
-1.730468750e+2,-4.040312500e+0,-1.210156250e+1,
-1.730078125e+2,-4.158750000e+0,-1.220000000e+1,
-1.730781250e+2,-4.240625000e+0,-1.219765625e+1,
-1.790390625e+2,-4.200000000e+0,-1.279921875e+1,
-1.769531250e+2,-4.240312500e+0,-1.239687500e+1,
-1.759609375e+2,-4.159375000e+0,-1.190000000e+1,
-1.740234375e+2,-4.160312500e+0,-1.239765625e+1,
-1.770156250e+2,-4.160000000e+0,-1.250000000e+1,
-1.740703125e+2,-4.200312500e+0,-1.220078125e+1,
-1.729765625e+2,-4.120312500e+0,-1.239921875e+1,
-1.759843750e+2,-4.159687500e+0,-1.240000000e+1,
-1.780078125e+2,-4.119062500e+0,-1.229843750e+1,
-1.750546875e+2,-4.080937500e+0,-1.220078125e+1,
-1.729453125e+2,-4.200625000e+0,-1.240000000e+1,
-1.789687500e+2,-4.240000000e+0,-1.240000000e+1,
-1.759609375e+2,-4.201875000e+0,-1.239687500e+1,
-1.770234375e+2,-4.120000000e+0,-1.260078125e+1,
-1.759531250e+2,-4.160000000e+0,-1.220000000e+1,
-1.730078125e+2,-4.200625000e+0,-1.250000000e+1,
-1.760078125e+2,-4.159062500e+0,-1.220156250e+1,
-1.750000000e+2,-3.960000000e+0,-1.210000000e+1,
-1.760000000e+2,-4.160937500e+0,-1.210078125e+1,
