CH1,CH2,CH4,Ts,parameter,value
2.080312500e+2,1.162187500e-1,2.992187500e+0,,,
2.080625000e+2,1.200937500e-1,2.000000000e+0,,,
2.099687500e+2,1.239687500e-1,3.000000000e+0,,,
2.038593750e+2,1.158750000e-1,1.976562500e+0,,,
2.021875000e+2,1.160937500e-1,-2.000000000e+0,,,
2.118906250e+2,1.240937500e-1,1.000000000e+0,,,
1.918906250e+2,1.198750000e-1,4.687500000e-2,,,
1.998906250e+2,1.080000000e-1,-5.000000000e+0,,,
1.940937500e+2,1.120000000e-1,-1.000000000e+0,,,
1.940000000e+2,1.080625000e-1,-2.031250000e+0,,,
1.919843750e+2,1.040625000e-1,-5.015625000e+0,,,
1.939375000e+2,1.119687500e-1,-5.000000000e+0,,,
1.921562500e+2,1.040000000e-1,-8.000000000e+0,,,
1.780625000e+2,1.120625000e-1,-5.007812500e+0,,,
1.840312500e+2,9.603125000e-2,-7.992187500e+0,,,
1.779531250e+2,9.996875000e-2,-6.984375000e+0,,,
1.820468750e+2,9.178125000e-2,-8.007812500e+0,,,
1.799375000e+2,8.003125000e-2,-9.000000000e+0,,,
1.760000000e+2,9.209375000e-2,-8.000000000e+0,,,
1.800000000e+2,8.790625000e-2,-8.000000000e+0,,,
1.760000000e+2,8.781250000e-2,-6.968750000e+0,,,
1.679375000e+2,9.196875000e-2,-1.200000000e+1,,,
1.640000000e+2,7.990625000e-2,-1.200000000e+1,,,
1.700000000e+2,7.981250000e-2,-8.023437500e+0,,,
1.659843750e+2,6.393750000e-2,-1.000000000e+1,,,
1.680000000e+2,7.203125000e-2,-1.200000000e+1,,,
1.680156250e+2,5.990625000e-2,-1.096875000e+1,,,
1.659843750e+2,5.600000000e-2,-1.300000000e+1,,,
1.659843750e+2,5.196875000e-2,-1.100000000e+1,,,
1.619531250e+2,4.796875000e-2,-1.300000000e+1,,,
1.641406250e+2,3.181250000e-2,-1.094531250e+1,,,
1.699531250e+2,2.381250000e-2,-1.003906250e+1,,,
1.619687500e+2,-3.125000000e-5,-1.300000000e+1,,,
1.640000000e+2,-3.125000000e-5,-1.100781250e+1,,,
1.619843750e+2,-1.206250000e-2,-1.101562500e+1,,,
1.599843750e+2,-1.609375000e-2,-1.400000000e+1,,,
1.659062500e+2,-3.600000000e-2,-1.200781250e+1,,,
1.720000000e+2,-2.800000000e-2,-1.299218750e+1,,,
1.641250000e+2,-5.215625000e-2,-1.002343750e+1,,,
1.639218750e+2,-6.400000000e-2,-7.976562500e+0,,,
1.658906250e+2,-6.793750000e-2,-1.303906250e+1,,,
1.599843750e+2,-7.196875000e-2,-1.201562500e+1,,,
1.660468750e+2,-8.437500000e-2,-9.000000000e+0,,,
1.679843750e+2,-1.040625000e-1,-1.100000000e+1,,,
1.680468750e+2,-1.000312500e-1,-1.000781250e+1,,,
1.720000000e+2,-1.082812500e-1,-9.984375000e+0,,,
1.700000000e+2,-1.120000000e-1,-1.199218750e+1,,,
1.740000000e+2,-1.160000000e-1,-1.200000000e+1,,,
1.719843750e+2,-1.200000000e-1,-1.400781250e+1,,,
1.760000000e+2,-1.119062500e-1,-1.099218750e+1,,,
1.720000000e+2,-1.121562500e-1,-1.200000000e+1,,,
1.739218750e+2,-1.241562500e-1,-8.000000000e+0,,,
1.799062500e+2,-1.198437500e-1,-8.000000000e+0,,,
1.821562500e+2,-1.158125000e-1,-8.984375000e+0,,,
1.719687500e+2,-1.280625000e-1,-1.100781250e+1,,,
1.822031250e+2,-1.280625000e-1,-9.000000000e+0,,,
1.879531250e+2,-1.276562500e-1,-8.976562500e+0,,,
1.779531250e+2,-9.984375000e-2,-6.968750000e+0,,,
1.760000000e+2,-1.082500000e-1,-1.300000000e+1,,,
1.780000000e+2,-1.120312500e-1,-8.984375000e+0,,,
1.760156250e+2,-1.039687500e-1,-8.992187500e+0,,,
1.820312500e+2,-1.080625000e-1,-7.007812500e+0,,,
1.840000000e+2,-1.039687500e-1,-7.000000000e+0,,,
1.760000000e+2,-9.971875000e-2,-5.984375000e+0,,,
1.820000000e+2,-8.368750000e-2,-1.096875000e+1,,,
1.679843750e+2,-7.981250000e-2,-1.000000000e+1,,,
1.779375000e+2,-7.200000000e-2,-7.031250000e+0,,,
1.820156250e+2,-8.006250000e-2,-8.937500000e+0,,,
1.740000000e+2,-7.193750000e-2,-1.398437500e+1,,,
1.739687500e+2,-6.396875000e-2,-6.945312500e+0,,,
1.680156250e+2,-5.596875000e-2,-8.000000000e+0,,,
1.760468750e+2,-5.596875000e-2,-1.100781250e+1,,,
1.719375000e+2,-4.800000000e-2,-1.200000000e+1,,,
1.680312500e+2,-4.006250000e-2,-1.300000000e+1,,,
1.679687500e+2,-4.390625000e-2,-1.104687500e+1,,,
1.699531250e+2,-4.409375000e-2,-9.000000000e+0,,,
1.738906250e+2,-3.600000000e-2,-1.100000000e+1,,,
1.761093750e+2,-3.996875000e-2,-9.039062500e+0,,,
1.700937500e+2,-3.240625000e-2,-8.000000000e+0,,,
1.700625000e+2,-2.368750000e-2,-1.299218750e+1,,,
1.639531250e+2,-3.603125000e-2,-1.103125000e+1,,,
1.620000000e+2,-2.012500000e-2,-1.199218750e+1,,,
1.640156250e+2,-2.396875000e-2,-1.300781250e+1,,,
1.680000000e+2,-2.800000000e-2,-1.400000000e+1,,,
1.640156250e+2,-2.400000000e-2,-1.400000000e+1,,,
1.679687500e+2,-2.400000000e-2,-1.400000000e+1,,,
1.580000000e+2,-2.393750000e-2,-1.699218750e+1,,,
1.620312500e+2,-2.793750000e-2,-1.400000000e+1,,,
1.540000000e+2,-3.190625000e-2,-1.403906250e+1,,,
1.600000000e+2,-3.612500000e-2,-1.600000000e+1,,,
1.540000000e+2,-2.003125000e-2,-1.399218750e+1,,,
1.599687500e+2,-3.193750000e-2,-1.402343750e+1,,,
1.560156250e+2,-3.578125000e-2,-1.700000000e+1,,,
1.600625000e+2,-4.806250000e-2,-1.600000000e+1,,,
1.578906250e+2,-3.609375000e-2,-1.401562500e+1,,,
1.499687500e+2,-4.393750000e-2,-1.600781250e+1,,,
1.520468750e+2,-5.200000000e-2,-1.400000000e+1,,,
1.540000000e+2,-4.400000000e-2,-1.403906250e+1,,,
1.539687500e+2,-5.600000000e-2,-1.699218750e+1,,,
1.600000000e+2,-4.806250000e-2,-1.303125000e+1,,,
1.499531250e+2,-5.596875000e-2,-1.400000000e+1,,,
1.479843750e+2,-5.200000000e-2,-1.501562500e+1,,,
1.539687500e+2,-5.600000000e-2,-1.699218750e+1,,,
1.540000000e+2,-5.600000000e-2,-1.700781250e+1,,,
1.560000000e+2,-6.000000000e-2,-1.600000000e+1,,,
1.520156250e+2,-5.200000000e-2,-1.701562500e+1,,,
1.520000000e+2,-5.993750000e-2,-1.500000000e+1,,,
1.479843750e+2,-5.603125000e-2,-1.699218750e+1,,,
1.560000000e+2,-6.000000000e-2,-1.400000000e+1,,,
1.479687500e+2,-6.000000000e-2,-1.703125000e+1,,,
1.519843750e+2,-7.203125000e-2,-1.797656250e+1,,,
1.460000000e+2,-5.606250000e-2,-1.699218750e+1,,,
1.520000000e+2,-6.778125000e-2,-2.100000000e+1,,,
1.500000000e+2,-6.403125000e-2,-1.598437500e+1,,,
1.539843750e+2,-6.803125000e-2,-1.600000000e+1,,,
1.520468750e+2,-6.396875000e-2,-2.000000000e+1,,,
1.480000000e+2,-7.600000000e-2,-1.899218750e+1,,,
1.519375000e+2,-7.200000000e-2,-1.800000000e+1,,,
1.520312500e+2,-7.200000000e-2,-2.000000000e+1,,,
1.480468750e+2,-6.390625000e-2,-1.803125000e+1,,,
1.460156250e+2,-7.200000000e-2,-1.499218750e+1,,,
1.480312500e+2,-6.400000000e-2,-1.600000000e+1,,,
1.479531250e+2,-7.200000000e-2,-1.601562500e+1,,,
1.439375000e+2,-5.993750000e-2,-1.900781250e+1,,,
1.440468750e+2,-5.603125000e-2,-1.800781250e+1,,,
1.500312500e+2,-6.400000000e-2,-1.700000000e+1,,,
1.519843750e+2,-6.003125000e-2,-1.799218750e+1,,,
1.501406250e+2,-6.006250000e-2,-1.600000000e+1,,,
1.400312500e+2,-5.196875000e-2,-1.803125000e+1,,,
1.400000000e+2,-6.003125000e-2,-1.899218750e+1,,,
1.379375000e+2,-4.796875000e-2,-1.699218750e+1,,,
1.499531250e+2,-5.200000000e-2,-1.600000000e+1,,,
1.440781250e+2,-5.212500000e-2,-2.001562500e+1,,,
1.480781250e+2,-5.196875000e-2,-2.000000000e+1,,,
1.500000000e+2,-6.000000000e-2,-2.000781250e+1,,,
1.479843750e+2,-5.600000000e-2,-2.202343750e+1,,,
1.480000000e+2,-5.203125000e-2,-2.201562500e+1,,,
1.480312500e+2,-6.400000000e-2,-1.802343750e+1,,,
1.400000000e+2,-5.218750000e-2,-1.703906250e+1,,,
1.440000000e+2,-3.996875000e-2,-2.100000000e+1,,,
1.380000000e+2,-4.793750000e-2,-1.901562500e+1,,,
1.440000000e+2,-4.400000000e-2,-2.100000000e+1,,,
1.359843750e+2,-4.403125000e-2,-2.100781250e+1,,,
1.459375000e+2,-4.000000000e-2,-1.899218750e+1,,,
1.440000000e+2,-4.403125000e-2,-2.199218750e+1,,,
1.439531250e+2,-4.403125000e-2,-2.100781250e+1,,,
1.440312500e+2,-4.403125000e-2,-2.200000000e+1,,,
1.360000000e+2,-4.393750000e-2,-1.996093750e+1,,,
1.340312500e+2,-5.200000000e-2,-2.010156250e+1,,,
1.400937500e+2,-4.000000000e-2,-2.501562500e+1,,,
1.439218750e+2,-4.806250000e-2,-2.296875000e+1,,,
1.320000000e+2,-5.200000000e-2,-2.300000000e+1,,,
1.380156250e+2,-4.831250000e-2,-2.200000000e+1,,,
1.280000000e+2,-3.603125000e-2,-2.299218750e+1,,,
1.379687500e+2,-3.996875000e-2,-2.196875000e+1,,,
1.361093750e+2,-4.412500000e-2,-1.999218750e+1,,,
1.300625000e+2,-6.800000000e-2,-2.500781250e+1,,,
1.317812500e+2,-3.609375000e-2,-2.000000000e+1,,,
1.420781250e+2,-4.781250000e-2,-2.298437500e+1,,,
1.278125000e+2,-4.400000000e-2,-2.100781250e+1,,,
1.321875000e+2,-4.400000000e-2,-2.401562500e+1,,,
1.400468750e+2,-4.400000000e-2,-2.400781250e+1,,,
1.398750000e+2,-4.803125000e-2,-2.300000000e+1,,,
1.299062500e+2,-5.212500000e-2,-2.500000000e+1,,,
1.320468750e+2,-5.590625000e-2,-2.201562500e+1,,,
1.320156250e+2,-4.003125000e-2,-2.195312500e+1,,,
1.340000000e+2,-5.190625000e-2,-2.500781250e+1,,,
1.300625000e+2,-4.406250000e-2,-2.400000000e+1,,,
1.260312500e+2,-3.603125000e-2,-2.200000000e+1,,,
1.259531250e+2,-4.806250000e-2,-2.402343750e+1,,,
1.319375000e+2,-5.200000000e-2,-2.400781250e+1,,,
1.320312500e+2,-4.400000000e-2,-2.500000000e+1,,,
1.300000000e+2,-5.590625000e-2,-2.500781250e+1,,,
1.279375000e+2,-5.203125000e-2,-2.600000000e+1,,,
1.179687500e+2,-5.200000000e-2,-2.400000000e+1,,,
1.220468750e+2,-4.403125000e-2,-2.400781250e+1,,,
1.240156250e+2,-5.600000000e-2,-2.500000000e+1,,,
1.260000000e+2,-4.400000000e-2,-2.400000000e+1,,,
1.279687500e+2,-4.400000000e-2,-2.300000000e+1,,,
1.200000000e+2,-4.800000000e-2,-2.501562500e+1,,,
1.279843750e+2,-5.600000000e-2,-2.600000000e+1,,,
1.240000000e+2,-4.387500000e-2,-2.600781250e+1,,,
1.280156250e+2,-4.406250000e-2,-2.500781250e+1,,,
1.280312500e+2,-4.803125000e-2,-2.700000000e+1,,,
1.200000000e+2,-4.803125000e-2,-2.603125000e+1,,,
1.259843750e+2,-5.196875000e-2,-2.394531250e+1,,,
1.220000000e+2,-5.200000000e-2,-2.700000000e+1,,,
1.300000000e+2,-5.600000000e-2,-2.400781250e+1,,,
1.238750000e+2,-4.796875000e-2,-2.807031250e+1,,,
1.220781250e+2,-4.406250000e-2,-2.696093750e+1,,,
1.300156250e+2,-5.212500000e-2,-2.400000000e+1,,,
1.199375000e+2,-5.606250000e-2,-2.700781250e+1,,,
1.160000000e+2,-4.406250000e-2,-2.600000000e+1,,,
1.200000000e+2,-4.403125000e-2,-2.699218750e+1,,,
1.220000000e+2,-5.203125000e-2,-2.800000000e+1,,,
1.239687500e+2,-5.200000000e-2,-2.700000000e+1,,,
1.280156250e+2,-5.190625000e-2,-2.600000000e+1,,,
1.201093750e+2,-4.400000000e-2,-2.700000000e+1,,,
1.159687500e+2,-5.218750000e-2,-2.500000000e+1,,,
1.180468750e+2,-3.600000000e-2,-2.799218750e+1,,,
1.179531250e+2,-4.803125000e-2,-2.700781250e+1,,,
1.139531250e+2,-4.006250000e-2,-2.900000000e+1,,,
1.140468750e+2,-5.606250000e-2,-2.700781250e+1,,,
1.159843750e+2,-4.381250000e-2,-2.800000000e+1,,,
1.119218750e+2,-4.403125000e-2,-2.800781250e+1,,,
1.118281250e+2,-4.403125000e-2,-2.800000000e+1,,,
1.220000000e+2,-5.200000000e-2,-2.800000000e+1,,,
1.120312500e+2,-6.800000000e-2,-2.998437500e+1,,,
1.139218750e+2,-5.184375000e-2,-2.700000000e+1,,,
1.160156250e+2,-4.403125000e-2,-3.000000000e+1,,,
1.120000000e+2,-4.806250000e-2,-2.800000000e+1,,,
1.140625000e+2,-5.593750000e-2,-2.897656250e+1,,,
1.100625000e+2,-5.206250000e-2,-3.000000000e+1,,,
1.180312500e+2,-4.396875000e-2,-2.898437500e+1,,,
1.119531250e+2,-4.406250000e-2,-2.901562500e+1,,,
1.139843750e+2,-4.803125000e-2,-3.200781250e+1,,,
1.080000000e+2,-4.806250000e-2,-2.697656250e+1,,,
1.140000000e+2,-5.196875000e-2,-2.800000000e+1,,,
1.080000000e+2,-4.009375000e-2,-2.703906250e+1,,,
1.100000000e+2,-4.400000000e-2,-2.600000000e+1,,,
1.060000000e+2,-4.009375000e-2,-3.100000000e+1,,,
1.080000000e+2,-5.212500000e-2,-3.099218750e+1,,,
1.060000000e+2,-4.790625000e-2,-3.300000000e+1,,,
1.080000000e+2,-4.806250000e-2,-3.000000000e+1,,,
1.120000000e+2,-5.200000000e-2,-3.196875000e+1,,,
1.079843750e+2,-5.200000000e-2,-3.100000000e+1,,,
1.080000000e+2,-5.593750000e-2,-3.100781250e+1,,,
1.059687500e+2,-3.603125000e-2,-2.999218750e+1,,,
1.060781250e+2,-5.621875000e-2,-2.905468750e+1,,,
1.099531250e+2,-4.793750000e-2,-3.301562500e+1,,,
1.039843750e+2,-5.200000000e-2,-3.001562500e+1,,,
1.080000000e+2,-4.409375000e-2,-3.000000000e+1,,,
1.039843750e+2,-4.806250000e-2,-3.101562500e+1,,,
1.039843750e+2,-5.603125000e-2,-3.299218750e+1,,,
1.059843750e+2,-5.193750000e-2,-3.400000000e+1,,,
1.079843750e+2,-4.790625000e-2,-3.299218750e+1,,,
1.101718750e+2,-4.403125000e-2,-3.100781250e+1,,,
9.603125000e+1,-5.600000000e-2,-3.295312500e+1,,,
1.041250000e+2,-6.000000000e-2,-3.597656250e+1,,,
9.782812500e+1,-5.181250000e-2,-3.101562500e+1,,,
9.400000000e+1,-3.612500000e-2,-3.296875000e+1,,,
9.814062500e+1,-5.609375000e-2,-3.300000000e+1,,,
1.019218750e+2,-4.390625000e-2,-3.300000000e+1,,,
9.390625000e+1,-5.615625000e-2,-3.301562500e+1,,,
9.614062500e+1,-4.800000000e-2,-3.295312500e+1,,,
1.040000000e+2,-5.200000000e-2,-3.700000000e+1,,,
9.609375000e+1,-4.400000000e-2,-3.302343750e+1,,,
9.598437500e+1,-5.203125000e-2,-3.104687500e+1,,,
9.801562500e+1,-4.393750000e-2,-3.603125000e+1,,,
9.201562500e+1,-4.815625000e-2,-3.500000000e+1,,,
9.596875000e+1,-5.196875000e-2,-3.400000000e+1,,,
9.404687500e+1,-4.415625000e-2,-3.300781250e+1,,,
9.609375000e+1,-4.406250000e-2,-3.396875000e+1,,,
1.040312500e+2,-5.212500000e-2,-3.700000000e+1,,,
9.993750000e+1,-5.593750000e-2,-3.395312500e+1,,,
9.800000000e+1,-4.790625000e-2,-3.296093750e+1,,,
1.000000000e+2,-4.806250000e-2,-3.800000000e+1,,,
1.019843750e+2,-5.200000000e-2,-3.400000000e+1,,,
9.596875000e+1,-5.203125000e-2,-3.699218750e+1,,,
9.400000000e+1,-5.190625000e-2,-3.402343750e+1,,,
9.600000000e+1,-4.390625000e-2,-3.600000000e+1,,,
9.400000000e+1,-4.400000000e-2,-3.700000000e+1,,,
9.600000000e+1,-4.406250000e-2,-3.599218750e+1,,,
9.196875000e+1,-4.803125000e-2,-3.500000000e+1,,,
8.800000000e+1,-4.400000000e-2,-2.902343750e+1,,,
9.196875000e+1,-4.403125000e-2,-3.393750000e+1,,,
9.400000000e+1,-4.803125000e-2,-3.698437500e+1,,,
8.595312500e+1,-5.196875000e-2,-3.498437500e+1,,,
9.007812500e+1,-4.803125000e-2,-3.500000000e+1,,,
9.395312500e+1,-5.200000000e-2,-3.497656250e+1,,,
9.000000000e+1,-4.393750000e-2,-3.400000000e+1,,,
9.590625000e+1,-3.953125000e-2,-3.900000000e+1,,,
9.410937500e+1,-5.212500000e-2,-3.806250000e+1,,,
8.807812500e+1,-3.596875000e-2,-3.400000000e+1,,,
8.592187500e+1,-5.593750000e-2,-3.401562500e+1,,,
9.190625000e+1,-4.400000000e-2,-3.796875000e+1,,,
9.017187500e+1,-5.612500000e-2,-3.900000000e+1,,,
8.593750000e+1,-3.612500000e-2,-3.604687500e+1,,,
9.000000000e+1,-5.190625000e-2,-3.297656250e+1,,,
8.600000000e+1,-4.009375000e-2,-3.797656250e+1,,,
9.001562500e+1,-4.400000000e-2,-3.898437500e+1,,,
8.995312500e+1,-4.000000000e-2,-3.800781250e+1,,,
7.800000000e+1,-4.800000000e-2,-3.700000000e+1,,,
8.600000000e+1,-4.400000000e-2,-3.900000000e+1,,,
8.000000000e+1,-4.390625000e-2,-3.799218750e+1,,,
8.190625000e+1,-4.787500000e-2,-3.900000000e+1,,,
8.596875000e+1,-5.212500000e-2,-3.702343750e+1,,,
8.601562500e+1,-4.390625000e-2,-4.000000000e+1,,,
8.200000000e+1,-6.400000000e-2,-3.598437500e+1,,,
8.396875000e+1,-4.415625000e-2,-3.603906250e+1,,,
8.398437500e+1,-5.153125000e-2,-4.000000000e+1,,,
8.604687500e+1,-5.628125000e-2,-3.900000000e+1,,,
8.592187500e+1,-3.606250000e-2,-3.900781250e+1,,,
7.796875000e+1,-4.796875000e-2,-3.900781250e+1,,,
8.007812500e+1,-4.800000000e-2,-3.900000000e+1,,,
8.398437500e+1,-5.600000000e-2,-3.698437500e+1,,,
7.801562500e+1,-4.803125000e-2,-3.703906250e+1,,,
8.000000000e+1,-5.562500000e-2,-4.000000000e+1,,,
8.196875000e+1,-5.618750000e-2,-3.800000000e+1,,,
7.200000000e+1,-3.600000000e-2,-3.900781250e+1,,,
8.198437500e+1,-5.200000000e-2,-3.899218750e+1,,,
7.600000000e+1,-4.803125000e-2,-4.200000000e+1,,,
7.801562500e+1,-4.800000000e-2,-3.899218750e+1,,,
7.201562500e+1,-4.800000000e-2,-3.997656250e+1,,,
7.600000000e+1,-4.800000000e-2,-4.000000000e+1,,,
7.400000000e+1,-4.803125000e-2,-4.000781250e+1,,,
7.600000000e+1,-4.796875000e-2,-4.201562500e+1,,,
7.596875000e+1,-5.200000000e-2,-4.397656250e+1,,,
7.400000000e+1,-4.806250000e-2,-3.896093750e+1,,,
7.798437500e+1,-3.596875000e-2,-4.099218750e+1,,,
7.600000000e+1,-4.781250000e-2,-4.103125000e+1,,,
7.798437500e+1,-4.415625000e-2,-4.001562500e+1,,,
7.200000000e+1,-4.006250000e-2,-4.400000000e+1,,,
7.593750000e+1,-3.993750000e-2,-4.300000000e+1,,,
7.800000000e+1,-5.600000000e-2,-4.300000000e+1,,,
7.406250000e+1,-4.800000000e-2,-4.300000000e+1,,,
7.195312500e+1,-4.000000000e-2,-4.300000000e+1,,,
7.403125000e+1,-6.000000000e-2,-4.097656250e+1,,,
6.796875000e+1,-4.400000000e-2,-4.500000000e+1,,,
7.001562500e+1,-4.800000000e-2,-4.001562500e+1,,,
6.587500000e+1,-4.396875000e-2,-4.202343750e+1,,,
6.417187500e+1,-4.003125000e-2,-4.200781250e+1,,,
8.000000000e+1,-5.209375000e-2,-4.400781250e+1,,,
6.592187500e+1,-6.009375000e-2,-4.101562500e+1,,,
7.193750000e+1,-4.009375000e-2,-4.100781250e+1,,,
6.606250000e+1,-5.190625000e-2,-4.201562500e+1,,,
6.601562500e+1,-5.200000000e-2,-4.399218750e+1,,,
5.998437500e+1,-5.603125000e-2,-4.199218750e+1,,,
6.987500000e+1,-4.796875000e-2,-4.400781250e+1,,,
7.214062500e+1,-4.403125000e-2,-4.300000000e+1,,,
6.006250000e+1,-4.396875000e-2,-4.400781250e+1,,,
6.817187500e+1,-4.796875000e-2,-4.400000000e+1,,,
7.198437500e+1,-5.200000000e-2,-4.100000000e+1,,,
6.400000000e+1,-4.800000000e-2,-4.302343750e+1,,,
7.201562500e+1,-5.206250000e-2,-4.300781250e+1,,,
6.803125000e+1,-6.000000000e-2,-4.200000000e+1,,,
6.200000000e+1,-4.015625000e-2,-4.301562500e+1,,,
6.800000000e+1,-4.384375000e-2,-4.500000000e+1,,,
6.203125000e+1,-5.593750000e-2,-4.501562500e+1,,,
5.996875000e+1,-5.200000000e-2,-4.300000000e+1,,,
6.798437500e+1,-3.606250000e-2,-4.200000000e+1,,,
6.396875000e+1,-4.018750000e-2,-4.296875000e+1,,,
7.201562500e+1,-5.603125000e-2,-4.699218750e+1,,,
6.006250000e+1,-4.825000000e-2,-4.503906250e+1,,,
6.198437500e+1,-2.800000000e-2,-4.500000000e+1,,,
6.200000000e+1,-4.781250000e-2,-4.498437500e+1,,,
6.395312500e+1,-5.200000000e-2,-4.507031250e+1,,,
5.598437500e+1,-4.400000000e-2,-4.901562500e+1,,,
5.998437500e+1,-5.196875000e-2,-4.696875000e+1,,,
5.603125000e+1,-3.606250000e-2,-4.599218750e+1,,,
6.598437500e+1,-3.962500000e-2,-4.498437500e+1,,,
5.803125000e+1,-5.193750000e-2,-4.699218750e+1,,,
5.800000000e+1,-5.203125000e-2,-4.599218750e+1,,,
5.800000000e+1,-4.400000000e-2,-4.600000000e+1,,,
5.800000000e+1,-5.200000000e-2,-4.600000000e+1,,,
5.801562500e+1,-4.796875000e-2,-4.600000000e+1,,,
5.793750000e+1,-5.996875000e-2,-4.500781250e+1,,,
6.201562500e+1,-5.200000000e-2,-4.501562500e+1,,,
5.787500000e+1,-5.200000000e-2,-4.401562500e+1,,,
5.403125000e+1,-4.803125000e-2,-4.799218750e+1,,,
5.595312500e+1,-5.196875000e-2,-4.700000000e+1,,,
5.001562500e+1,-4.409375000e-2,-4.698437500e+1,,,
5.807812500e+1,-5.600000000e-2,-4.500000000e+1,,,
5.798437500e+1,-3.621875000e-2,-4.797656250e+1,,,
5.801562500e+1,-3.987500000e-2,-4.700000000e+1,,,
5.403125000e+1,-5.196875000e-2,-4.800000000e+1,,,
5.203125000e+1,-5.196875000e-2,-4.700000000e+1,,,
4.996875000e+1,-4.403125000e-2,-4.800000000e+1,,,
5.593750000e+1,-6.000000000e-2,-4.700000000e+1,,,
5.409375000e+1,-4.409375000e-2,-4.798437500e+1,,,
4.998437500e+1,-5.187500000e-2,-4.900000000e+1,,,
5.000000000e+1,-5.200000000e-2,-4.800000000e+1,,,
4.796875000e+1,-5.200000000e-2,-4.800000000e+1,,,
4.800000000e+1,-5.200000000e-2,-5.000000000e+1,,,
5.203125000e+1,-5.200000000e-2,-4.799218750e+1,,,
5.800000000e+1,-5.200000000e-2,-4.700000000e+1,,,
5.595312500e+1,-4.412500000e-2,-4.899218750e+1,,,
4.598437500e+1,-5.200000000e-2,-4.900000000e+1,,,
4.998437500e+1,-5.996875000e-2,-4.800000000e+1,,,
5.000000000e+1,-3.990625000e-2,-4.999218750e+1,,,
4.800000000e+1,-4.803125000e-2,-5.099218750e+1,,,
5.200000000e+1,-4.409375000e-2,-4.800000000e+1,,,
4.801562500e+1,-6.009375000e-2,-4.996875000e+1,,,
4.807812500e+1,-5.603125000e-2,-5.007031250e+1,,,
3.800000000e+1,-6.003125000e-2,-4.700000000e+1,,,
5.400000000e+1,-5.200000000e-2,-5.002343750e+1,,,
5.587500000e+1,-6.003125000e-2,-5.296875000e+1,,,
4.596875000e+1,-5.990625000e-2,-4.999218750e+1,,,
4.600000000e+1,-4.790625000e-2,-5.200000000e+1,,,
4.201562500e+1,-3.993750000e-2,-4.999218750e+1,,,
5.000000000e+1,-4.800000000e-2,-5.000000000e+1,,,
4.800000000e+1,-3.996875000e-2,-5.100781250e+1,,,
4.800000000e+1,-4.006250000e-2,-4.900000000e+1,,,
4.200000000e+1,-5.612500000e-2,-5.100000000e+1,,,
4.793750000e+1,-5.187500000e-2,-5.100000000e+1,,,
4.604687500e+1,-4.396875000e-2,-5.100000000e+1,,,
4.400000000e+1,-3.981250000e-2,-4.899218750e+1,,,
4.195312500e+1,-5.203125000e-2,-5.300000000e+1,,,
4.000000000e+1,-4.390625000e-2,-4.999218750e+1,,,
3.990625000e+1,-4.812500000e-2,-5.000781250e+1,,,
3.610937500e+1,-5.612500000e-2,-5.200781250e+1,,,
4.809375000e+1,-5.993750000e-2,-4.900000000e+1,,,
4.382812500e+1,-5.196875000e-2,-5.200000000e+1,,,
3.787500000e+1,-4.806250000e-2,-4.900000000e+1,,,
4.803125000e+1,-4.400000000e-2,-5.200000000e+1,,,
3.404687500e+1,-5.600000000e-2,-5.298437500e+1,,,
3.587500000e+1,-5.206250000e-2,-5.200000000e+1,,,
4.201562500e+1,-5.993750000e-2,-5.300000000e+1,,,
3.409375000e+1,-3.593750000e-2,-5.300000000e+1,,,
3.389062500e+1,-4.353125000e-2,-5.102343750e+1,,,
3.804687500e+1,-6.396875000e-2,-5.100000000e+1,,,
3.795312500e+1,-5.190625000e-2,-5.199218750e+1,,,
3.596875000e+1,-3.990625000e-2,-5.100781250e+1,,,
3.601562500e+1,-4.018750000e-2,-5.399218750e+1,,,
4.001562500e+1,-5.612500000e-2,-5.298437500e+1,,,
4.198437500e+1,-5.596875000e-2,-5.300781250e+1,,,
3.600000000e+1,-5.603125000e-2,-5.400781250e+1,,,
4.200000000e+1,-5.203125000e-2,-5.300000000e+1,,,
3.400000000e+1,-5.190625000e-2,-5.400000000e+1,,,
3.800000000e+1,-4.393750000e-2,-5.302343750e+1,,,
3.795312500e+1,-4.815625000e-2,-5.200000000e+1,,,
2.800000000e+1,-5.196875000e-2,-5.300000000e+1,,,
3.193750000e+1,-4.796875000e-2,-5.497656250e+1,,,
3.200000000e+1,-5.200000000e-2,-5.600000000e+1,,,
3.400000000e+1,-5.600000000e-2,-5.598437500e+1,,,
3.196875000e+1,-5.196875000e-2,-5.299218750e+1,,,
3.196875000e+1,-5.203125000e-2,-5.403125000e+1,,,
3.210937500e+1,-5.206250000e-2,-5.502343750e+1,,,
4.000000000e+1,-5.190625000e-2,-5.600000000e+1,,,
3.400000000e+1,-4.000000000e-2,-5.500781250e+1,,,
2.800000000e+1,-5.203125000e-2,-5.500000000e+1,,,
3.398437500e+1,-4.806250000e-2,-5.397656250e+1,,,
3.206250000e+1,-5.993750000e-2,-5.800000000e+1,,,
2.800000000e+1,-4.396875000e-2,-5.499218750e+1,,,
3.193750000e+1,-6.018750000e-2,-5.599218750e+1,,,
3.200000000e+1,-5.600000000e-2,-5.500000000e+1,,,
3.195312500e+1,-4.000000000e-2,-5.600000000e+1,,,
2.793750000e+1,-4.806250000e-2,-5.500000000e+1,,,
