CH1,CH2,CH4,Ts,parameter,value
2.599687500e+2,-1.119687500e-1,1.203906250e+1,,,
2.620000000e+2,-9.593750000e-2,7.984375000e+0,,,
2.580000000e+2,-9.212500000e-2,1.005468750e+1,,,
2.600156250e+2,-1.040937500e-1,1.500000000e+1,,,
2.559531250e+2,-9.996875000e-2,1.096093750e+1,,,
2.540468750e+2,-1.040312500e-1,1.100000000e+1,,,
2.580625000e+2,-1.001562500e-1,1.200000000e+1,,,
2.500468750e+2,-9.996875000e-2,1.201562500e+1,,,
2.558906250e+2,-1.038437500e-1,1.100000000e+1,,,
2.599531250e+2,-1.120312500e-1,1.200000000e+1,,,
2.600937500e+2,-9.618750000e-2,1.100781250e+1,,,
2.559531250e+2,-8.387500000e-2,1.100000000e+1,,,
2.600000000e+2,-9.584375000e-2,1.200000000e+1,,,
2.559843750e+2,-9.203125000e-2,1.197656250e+1,,,
2.600156250e+2,-9.990625000e-2,1.400000000e+1,,,
2.600000000e+2,-1.040312500e-1,1.196875000e+1,,,
2.599843750e+2,-9.203125000e-2,1.099218750e+1,,,
2.579687500e+2,-1.000000000e-1,1.300000000e+1,,,
2.580156250e+2,-9.200000000e-2,1.100000000e+1,,,
2.640000000e+2,-9.184375000e-2,1.394531250e+1,,,
2.641093750e+2,-9.590625000e-2,1.300000000e+1,,,
2.580000000e+2,-1.038125000e-1,1.196875000e+1,,,
2.639687500e+2,-1.160625000e-1,1.000781250e+1,,,
2.660468750e+2,-1.000625000e-1,1.300781250e+1,,,
2.600312500e+2,-9.984375000e-2,1.297656250e+1,,,
2.639062500e+2,-1.043125000e-1,1.200000000e+1,,,
2.659218750e+2,-8.415625000e-2,1.300000000e+1,,,
2.600312500e+2,-9.581250000e-2,1.298437500e+1,,,
2.659843750e+2,-1.079687500e-1,1.200781250e+1,,,
2.559843750e+2,-1.040000000e-1,1.300000000e+1,,,
2.680312500e+2,-1.040000000e-1,1.099218750e+1,,,
2.660312500e+2,-1.000312500e-1,1.303125000e+1,,,
2.600000000e+2,-9.621875000e-2,1.400000000e+1,,,
2.640000000e+2,-9.196875000e-2,1.400000000e+1,,,
2.619843750e+2,-1.000000000e-1,1.400000000e+1,,,
2.659843750e+2,-1.000000000e-1,1.400781250e+1,,,
2.640000000e+2,-9.203125000e-2,1.099218750e+1,,,
2.600312500e+2,-9.606250000e-2,1.600781250e+1,,,
2.559531250e+2,-1.040000000e-1,1.305468750e+1,,,
2.620000000e+2,-1.041562500e-1,1.300000000e+1,,,
2.599843750e+2,-9.603125000e-2,1.301562500e+1,,,
2.640000000e+2,-1.000000000e-1,1.500000000e+1,,,
2.599375000e+2,-9.600000000e-2,1.398437500e+1,,,
2.580156250e+2,-1.000000000e-1,1.400781250e+1,,,
2.639843750e+2,-1.000312500e-1,1.400000000e+1,,,
2.620000000e+2,-9.996875000e-2,1.300781250e+1,,,
2.599843750e+2,-1.000312500e-1,1.300781250e+1,,,
2.599843750e+2,-9.996875000e-2,1.500000000e+1,,,
2.639687500e+2,-1.040000000e-1,1.100000000e+1,,,
2.620312500e+2,-1.000000000e-1,1.300781250e+1,,,
2.559062500e+2,-8.400000000e-2,1.400000000e+1,,,
2.679531250e+2,-1.000000000e-1,1.300000000e+1,,,
2.581406250e+2,-9.606250000e-2,1.199218750e+1,,,
2.580781250e+2,-1.000000000e-1,1.300000000e+1,,,
2.640468750e+2,-8.800000000e-2,1.199218750e+1,,,
2.639531250e+2,-9.603125000e-2,1.400781250e+1,,,
2.640468750e+2,-9.600000000e-2,1.299218750e+1,,,
2.680000000e+2,-9.603125000e-2,1.198437500e+1,,,
2.639375000e+2,-1.040312500e-1,1.598437500e+1,,,
2.619531250e+2,-1.000000000e-1,1.497656250e+1,,,
2.678906250e+2,-1.040000000e-1,1.399218750e+1,,,
2.680156250e+2,-9.606250000e-2,1.400781250e+1,,,
2.620312500e+2,-9.203125000e-2,1.398437500e+1,,,
2.599062500e+2,-8.806250000e-2,1.300000000e+1,,,
2.719687500e+2,-1.079375000e-1,1.400000000e+1,,,
2.641093750e+2,-1.043125000e-1,1.400000000e+1,,,
2.660468750e+2,-9.603125000e-2,1.500000000e+1,,,
2.660000000e+2,-9.600000000e-2,1.499218750e+1,,,
2.660625000e+2,-1.040000000e-1,1.299218750e+1,,,
2.739843750e+2,-1.000000000e-1,1.498437500e+1,,,
2.640156250e+2,-1.040000000e-1,1.700000000e+1,,,
2.700000000e+2,-1.080312500e-1,1.396875000e+1,,,
2.640000000e+2,-1.039687500e-1,1.200000000e+1,,,
2.619843750e+2,-1.080312500e-1,1.298437500e+1,,,
2.659687500e+2,-9.600000000e-2,1.400000000e+1,,,
2.680000000e+2,-1.000000000e-1,1.499218750e+1,,,
2.659531250e+2,-1.000312500e-1,1.600000000e+1,,,
2.739843750e+2,-1.040000000e-1,1.400781250e+1,,,
2.680781250e+2,-1.001875000e-1,1.300781250e+1,,,
2.679687500e+2,-8.393750000e-2,1.300000000e+1,,,
2.740000000e+2,-1.039375000e-1,1.501562500e+1,,,
2.679218750e+2,-9.200000000e-2,1.500000000e+1,,,
2.640312500e+2,-1.000312500e-1,1.498437500e+1,,,
2.680000000e+2,-1.000000000e-1,1.297656250e+1,,,
2.639843750e+2,-9.996875000e-2,1.403125000e+1,,,
2.679843750e+2,-1.081562500e-1,1.798437500e+1,,,
2.659843750e+2,-9.600000000e-2,1.601562500e+1,,,
2.719687500e+2,-1.040312500e-1,1.600000000e+1,,,
2.720625000e+2,-9.200000000e-2,1.400781250e+1,,,
2.680000000e+2,-1.000000000e-1,1.299218750e+1,,,
2.719218750e+2,-8.796875000e-2,1.400000000e+1,,,
2.720156250e+2,-1.078750000e-1,1.501562500e+1,,,
2.699062500e+2,-1.000000000e-1,1.300781250e+1,,,
2.681250000e+2,-1.040000000e-1,1.400781250e+1,,,
2.780468750e+2,-1.000625000e-1,1.500000000e+1,,,
2.718593750e+2,-1.039375000e-1,1.400000000e+1,,,
2.659687500e+2,-8.790625000e-2,1.500781250e+1,,,
2.680625000e+2,-9.612500000e-2,1.599218750e+1,,,
2.699843750e+2,-1.000000000e-1,1.704687500e+1,,,
2.680000000e+2,-9.612500000e-2,1.299218750e+1,,,
2.700000000e+2,-8.796875000e-2,1.500000000e+1,,,
2.679843750e+2,-1.040312500e-1,1.500000000e+1,,,
2.700156250e+2,-9.603125000e-2,1.498437500e+1,,,
2.660000000e+2,-1.080000000e-1,1.400000000e+1,,,
2.699531250e+2,-1.080312500e-1,1.499218750e+1,,,
2.679531250e+2,-1.041250000e-1,1.500000000e+1,,,
